Study,Arm,Number,Dose2,Dose 3,LOD,Vaccinia_EXP,ELISA,Formulation,Day,GMT,LCI,UCI,Seronegative
1,3,16,28,,1,0,0.35,LF,28,114.26,,,1
1,3,15,28,,1,0,0.35,LF,42,743.37,,,1
1,3,16,28,,1,0,0.35,LF,126,124.42,,,1
1,4,16,28,,1,0,0.35,LF,28,128.37,,,1
1,4,15,28,,1,0,0.35,LF,42,899.75,,,1
1,4,16,28,,1,0,0.35,LF,126,162.01,,,1
1,5,18,0,,1,1,0.35,LF,0,3.75,,,1
1,5,18,0,,1,1,0.35,LF,28,1165.1,,,1
1,5,18,0,,1,1,0.35,LF,42,979.2,,,1
1,5,18,0,,1,1,0.35,LF,126,488.75,,,1
4,3,52,28,,1,0,0.35,FD,28,98.5,67.6,143.7,1
4,3,52,28,,1,0,0.35,FD,42,813.8,628.7,1053.3,1
4,3,52,28,,1,0,0.35,FD,84,323.6,246.8,424.3,1
5,1,183,28,,1,0,0.35,LF,28,71.8,56.9,90.7,1
5,1,183,28,,1,0,0.35,LF,42,495.8,431.8,569.4,1
5,1,183,28,,1,0,0.35,LF,56,329,288.4,374.5,1
5,1,183,28,,1,0,0.35,LF,210,27.9,20.7,37.6,1
5,1,92,28,,1,0,0.35,LF,756,23.3,15.2,35.9,1
5,2,181,0,,1,0,0.35,LF,28,60.3,47.6,76.5,1
5,2,181,0,,1,0,0.35,LF,42,42.3,32.7,54.8,1
5,2,181,0,,1,0,0.35,LF,56,23.2,17.4,31,1
5,2,181,0,,1,0,0.35,LF,210,5.3,3.9,7.2,1
5,2,91,0,,1,0,0.35,LF,756,6.2,4,9.7,1
5,3,200,0,,1,1,0.35,LF,0,38.8,29.4,51.3,1
5,3,200,0,,1,1,0.35,LF,14,568.8,473.3,683.6,1
5,3,200,0,,1,1,0.35,LF,28,452.3,388.9,526.1,1
5,3,200,0,,1,1,0.35,LF,210,179.9,148.9,217.4,1
5,3,121,0,,1,1,0.35,LF,756,134.7,111.9,162,1
6,1,185,28,,1,0,,LF,28,129.8,107.1,157.2,1
6,1,185,28,,1,0,,LF,42,1076.9,956.8,1212,1
